id_partido,equipo,numero,nombre
TUN,39,SOUSSI Mohamed,12
TUN,55,TOUMI Ghassen,12
TUN,66,JBELI Islem,12
TUN,69,JABALLAH Jihed,12
TUN,7,MAJDOUB Ramzi,12
TUN,71,DARMOUL Mohamed Amine,12
TUN,77,ZAIED Skander,12
TUN,92,JAZIRI Oussama,12
TUN,94,HARBAOUI Mehdi Sadri,12
TUN,96,BEN ABDALLAH Anouar,12
TUN,97,MARGHELI Achraf,12
GER,1,BITTER Johannes,13
GER,12,HEINEVETTER Silvio,13
GER,15,KNORR Juri,13
GER,18,FIRNHABER Sebastian,13
GER,20,WEBER Philipp,13
GER,22,MICHALZCIK Marian,13
GER,25,HAFNER Kai,13
GER,3,GENSHEIMER Uwe,13
GER,31,SCHILLER Marcel,13
GER,35,KUHN Julius,13
GER,38,BOHM Fabian,13
GER,4,GOLLA Johannes,13
GER,73,KASTENING Timo,13
GER,77,SCHMIDT David,13
GER,9,REICHMANN Tobias,13
GER,95,DRUX Paul,13
URU,1,NAVARRETE GAMBINO Luis Felipe,13
URU,10,SPANGENBERG TORRE Gabriel,13
URU,11,FALABRINO MEDINA Diego,13
URU,13,CANCIO CASAS Maximo Esteban,13
URU,15,MENDEZ SUAREZ Bruno Valentin,13
URU,16,GONZALEZ ALLOZA Felipe Alfonso,13
URU,17,MORANDEIRA Diego,13
URU,19,BOTEJARA MERINGOLO Rodrigo Javier,13
URU,2,CHAPARRO ALMADA Gabriel,13
URU,20,RUBBO RODRIGUEZ Federico,13
URU,24,VELAZCO FERNANDEZ Alejandro Martin,13
URU,34,GOYOAGA ALONSO Geronimo,13
URU,36,ROSTAGNO RIOS Christian David,13
URU,4,LISTON GALBARINI Facundo Manuel,13
URU,74,MILLAN FLORES Guillermo,13
URU,9,FABRA GENTILE Nicolas Gonzalo,13
CPV,1,ALMEIDA Luis,14
CPV,12,FERNANDES Elcio,14
CPV,13,MORENO Paulo,14
CPV,15,PEREIRA Alexandre,14
CPV,19,FURTADO Admilson Estaliny,14
CPV,2,dos SANTOS Gil Baiano,14
CPV,29,LANDIM Felisberto,14
CPV,3,PINA Delcio,14
CPV,44,FURTADO Gualther,14
CPV,5,ARAUJO Edmilson,14
CPV,6,SEMEDO Leandro,14
HUN,15,GYORI Matyas,14
HUN,16,MIKLER Roland,14
HUN,17,NAGY Bence,14
HUN,2,SIPOS Adrian,14
HUN,20,ROSTA Miklos,14
HUN,22,SUNAJKO Stefan,14
HUN,23,MATHE Dominik,14
HUN,24,BORBELY Adam,14
HUN,27,BANHIDI Bence,14
HUN,3,TOPIC Petar,14
HUN,30,SZITA Zoltan,14
HUN,33,ANCSIN Gabor,14
HUN,47,HORNYAK Peter,14
HUN,66,LEKAI Mate,14
HUN,77,HANUSZ Egon,14
HUN,9,BALOGH Zsolt,14
ANG,10,NASCIMENTO Manuel Antonio Domingos,15
ANG,13,TATI Mario De Jesus Ntida,15
ANG,14,CHICOLA Claudio A. Patricio,15
ANG,15,PANZO Mayomona Antonio,15
ANG,16,MUACHISSENGUE Giovany R. De Nelumba,15
ANG,2,QUITONGO Agnelo Adao Tavares,15
ANG,20,GOUVEIA Custodio Joao,15
ANG,21,PESTANA Adelino Anderson,15
ANG,22,ANTONIO Elias,15
ANG,3,AGUIAR Jaroslav Catraio Joao De,15
ANG,4,TECA Gabriel Massuca,15
