match_id,team,number,player
73,RHF,5,KISELEV Dmitrii
73,RHF,55,VALIULLIN Azat
73,RHF,76,TRETYNKO Stanislav
73,RHF,78,ANDREEV Pavel
73,RHF,87,KIREEV Viktor
73,RHF,89,ZHITNIKOV Dmitrii
73,RHF,99,KOSOROTOV Sergei Mark
73,SWE,11,PETTERSSON Daniel
73,SWE,12,PALICKA Andreas
73,SWE,15,WANNE Hampus
73,SWE,16,AGGEFORS Mikael
73,SWE,19,CLAAR Felix
73,SWE,2,CARLSBOGARD Jonathan
73,SWE,22,PELLAS Lucas
73,SWE,23,LAGERGREN Albin
73,SWE,24,GOTTFRIDSSON Jim
73,SWE,28,EDVARDSSON Jonathan
73,SWE,32,BERGENDAHL Oscar
73,SWE,33,SANDELL Lukas
73,SWE,5,DARJ Max
73,SWE,62,CHRINTZ Valter
73,SWE,66,LINDSKOG Anton
73,SWE,8,JONSSON Alfred
74,EGY,15,HESHAM Ahmed
74,EGY,24,ELMASRY Ibrahim
74,EGY,25,NAWAR Wisam
74,EGY,31,ELWAKIL Omar
74,EGY,39,ELDERAA Yehia
74,EGY,42,KADDAH Hassan
74,EGY,45,ELDERAA Seif
74,EGY,5,OMAR Yahia
74,EGY,53,YOUSRI Akram
74,EGY,66,ELAHMAR Ahmed
74,EGY,88,HENDAWY Karim
74,EGY,89,MAMDOUH Mohamed
74,EGY,9,HASSAN Eslam
74,EGY,90,ZEIN Ali
74,EGY,91,SANAD Mohammad
74,EGY,96,ELTAYAR Mohamed
74,SLO,11,DOLENEC Jure
74,SLO,13,CINGESAR Darko
74,SLO,17,CEHTE Nejc
74,SLO,20,KODRIN Tilen
74,SLO,22,GABER Matej
74,SLO,23,ZARABEC Miha
74,SLO,26,FERLIN Klemen
74,SLO,3,BLAGOTINSEK Blaz
74,SLO,34,OVNICEK Rok
74,SLO,35,MAKUC Domen
74,SLO,44,BOMBAC Dean
74,SLO,5,HENIGMAN Nik
74,SLO,51,MACKOVSEK Borut
74,SLO,8,JANC Blaz
74,SLO,90,LESJAK Urban
74,SLO,95,SUHOLEZNIK Matic
75,BLR,1,MATSKEVICH Ivan
75,BLR,17,KRYVENKA Uladzislau
75,BLR,23,YURYNOK Andrei
75,BLR,3,KULESH Uladzislau
75,BLR,33,MAROZ Ivan
75,BLR,42,USHAL Aliaksei
75,BLR,43,SELVIASIUK Artsiom
75,BLR,47,PADSHYVALAU Aliaksandr
75,BLR,50,KARALEK Artsem
75,BLR,55,VAILUPAU Mikita
75,BLR,62,SAMOILA Kiryl
75,BLR,7,KULAK Artsiom
75,BLR,74,BOKHAN Viachaslau
75,BLR,9,ASTRASHAPKIN Aleh
75,BLR,95,GAYDUCHENKO Vadim
75,BLR,98,ALIOKHIN Mikalai
75,MKD,1,MITREVSKI Nikola
75,MKD,11,TALESKI Filip
75,MKD,12,TOMOVSKI Martin
75,MKD,17,MARKOSKI Nikola
75,MKD,18,KUZMANOVSKI Filip
75,MKD,19,KOSTESKI Nenad
75,MKD,20,DANILOVSKI Nikola
75,MKD,28,POPOVSKI Martin
75,MKD,31,MLADENOVIKJ Mihajlo
75,MKD,33,PESHEVSKI Zharko
75,MKD,5,STOILOV Stojanche
75,MKD,6,DIMITRIOSKI Dimitar
75,MKD,7,LAZAROV Kiril
75,MKD,77,SERAFIMOV Martin
75,MKD,8,KUZMANOSKI Cvetan
75,MKD,97,MISHEVSKI Marko
76,FRA,10,MEM Dika
76,FRA,11,TOURNAT Nicolas
76,FRA,12,GERARD Vincent
76,FRA,14,MAHE Kentin
76,FRA,16,GENTY Yann
76,FRA,17,N'GUESSAN Timothey
76,FRA,19,ABALO Luc
76,FRA,21,GUIGOU Michael
76,FRA,22,KARABATIC Luka
76,FRA,23,FABREGAS Ludovic
76,FRA,25,DESCAT Hugo
76,FRA,27,DIPANDA Adrien
76,FRA,28,PORTE Valentin
76,FRA,5,REMILI Nedim
76,FRA,7,LAGARDE Romain
76,FRA,9,RICHARDSON Melvyn
76,POR,1,QUINTANA Alfredo
76,POR,10,MARTINS Miguel
76,POR,11,MOREIRA Belone
76,POR,14,SILVA Rui
76,POR,15,SALINA Daymaro
76,POR,16,GOMES Humberto
76,POR,22,BORGES Alexis
76,POR,23,BRANQUINHO Diogo
76,POR,24,CAVALCANTI Alexandre
76,POR,25,AREIA Antonio
76,POR,27,GOMES Andre
76,POR,4,PORTELA Pedro
76,POR,5,DUARTE Gilberto
76,POR,8,ITURRIZA Victor
76,POR,88,MAGALHAES Fabio
76,POR,9,FERRAZ Joao
77,ISL,1,GUSTAVSSON Bjorgvin Pall
77,ISL,11,GISLASON Ymir Orn
77,ISL,13,GUDMUNDSSON Olafur Andres
77,ISL,14,MAGNUSSON Omar Ingi
77,ISL,16,HALLGRIMSSON Viktor Gisli
77,ISL,18,KRISTJANSSON Gisli Thorgeir
77,ISL,20,BJORGVINSSON Agust Eli
77,ISL,21,ARNARSSON Arnar Freyr
77,ISL,22,GUDJONSSON Sigvaldi Bjorn
77,ISL,23,GRETARSSON Oddur
77,ISL,24,MAGNUSSON Magnus Oli
77,ISL,26,KRISTJANSSON Kristjan Orn
77,ISL,29,VIDARSSON Ellidi Snaer
77,ISL,3,KRISTJANSSON Kari Kristjan
77,ISL,8,ELISSON Bjarki Mar
77,ISL,9,JONSSON Elvar Orn
77,NOR,11,OVERBY Petter
77,NOR,12,SAEVERAS Kristian
77,NOR,15,TONNESEN Kent Robin
77,NOR,17,JONDAL Magnus
77,NOR,19,BJORNSEN Kristian
77,NOR,23,JOHANNESSEN Goran Sogard
77,NOR,24,O`SULLIVAN Christian
77,NOR,25,TANGEN Eivind
77,NOR,27,REINKIND Harald
77,NOR,30,BERGERUD Torbjorn Sittrup
77,NOR,32,SOLSTAD Thomas
77,NOR,44,GULLIKSEN Kevin Maagero
77,NOR,5,SAGOSEN Sander
77,NOR,7,OVERJORDET Sander
77,NOR,71,BLONZ Alexandre Christoffersen
77,NOR,8,MYRHOL Bjarte
78,ALG,15,SAKER Redouane
78,ALG,16,ZEMOUCHI Yahia
78,ALG,18,KAABECHE Hichem
78,ALG,19,ENSAAD Oqba
78,ALG,2,NAIM Zohir
78,ALG,21,BOUDJENAH Oussem
78,ALG,22,GHEDBANE Khalifa
78,ALG,23,ABDERAHIM Berriah
78,ALG,25,BENDJILALI Sofiane
78,ALG,26,KOURI Mokhtar
78,ALG,36,ABDELKADER Rahim
78,ALG,4,HELLAL Nouredine
78,ALG,44,HADJ SADOK Moustapha
78,ALG,6,BERKOUS Messaoud
78,ALG,7,HICHEM Daoud
78,ALG,87,AYOUB Abdi
78,SUI,11,SIDOROWICZ Roman
78,SUI,15,RAEMY Nicolas
78,SUI,16,PORTNER Nikola
78,SUI,17,ROTHLISBERGER Samuel
78,SUI,2,SCHMID Andy
78,SUI,22,SCHELKER Jonas
78,SUI,24,TOMINEC Nik
78,SUI,29,ZEHNDER Samuel
78,SUI,31,BRINGOLF Aurel
